type,name,latitude,longitude,country,region,sub_region,description,forecast,telegram_link
Surf Spot,Big Bay,-33.79227313,18.45106602,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-33.79227313,18.45106602,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-33.79227313,18.45106602,15""}]",
Surf Spot,Churches,20.90810997,-156.48246646,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@20.90810997,-156.48246646,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,20.90810997,-156.48246646,15""}]",
Surf Spot,Sandvik,63.85984682,-22.70007133,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@63.85984682,-22.70007133,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,63.85984682,-22.70007133,15""}]",
Surf Spot,Naragansett,41.43757896,-71.45070076,US,Rhode Island,Rhode Island,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@41.43757896,-71.45070076,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,41.43757896,-71.45070076,15""}]",
Surf Spot,Foul bay,13.09790182,-59.45203722,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@13.09790182,-59.45203722,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,13.09790182,-59.45203722,15""}]",
Surf Spot,Braymains,-34.05301498,151.15711212,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.05301498,151.15711212,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.05301498,151.15711212,15""}]",
Surf Spot,Katwijk,52.20439813,4.39225674,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@52.20439813,4.39225674,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,52.20439813,4.39225674,15""}]",
Surf Spot,Winchester Bay - South Umpqua Jetty,43.66312184,-124.212327,US,CA,North Bend Region,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@43.66312184,-124.212327,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,43.66312184,-124.212327,15""}]",
Surf Spot,Leblon,-22.98794802,-43.2195282,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-22.98794802,-43.2195282,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-22.98794802,-43.2195282,15""}]",
Surf Spot,Birling gap,50.74253872,0.20032883,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@50.74253872,0.20032883,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,50.74253872,0.20032883,15""}]",
Surf Spot,Tagore,-20.06488047,57.5190711,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-20.06488047,57.5190711,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-20.06488047,57.5190711,15""}]",
Surf Spot,La Chilena-Algarrobo,-33.36031982,-71.67527676,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-33.36031982,-71.67527676,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-33.36031982,-71.67527676,15""}]",
Surf Spot,Waipatiki,-39.30189322,176.97701097,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-39.30189322,176.97701097,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-39.30189322,176.97701097,15""}]",
Surf Spot,Praia do Morro,-9.32716874,-35.43853104,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-9.32716874,-35.43853104,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-9.32716874,-35.43853104,15""}]",
Surf Spot,Viana do castelo,41.66476915,-8.82279396,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@41.66476915,-8.82279396,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,41.66476915,-8.82279396,15""}]",
Surf Spot,Nova Mar Bella,41.40161606,2.214818,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@41.40161606,2.214818,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,41.40161606,2.214818,15""}]",
Surf Spot,Porto di Santa Marinella,42.03650647,11.875467,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@42.03650647,11.875467,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,42.03650647,11.875467,15""}]",
Surf Spot,Le Moule - Damencourt,16.33715888,-61.36198997,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@16.33715888,-61.36198997,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,16.33715888,-61.36198997,15""}]",
Surf Spot,Seaside,36.61275466,-121.85863495,US,CA,Monterey,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@36.61275466,-121.85863495,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,36.61275466,-121.85863495,15""}]",
Surf Spot,Herolds Bay,-34.05561055,22.39127398,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.05561055,22.39127398,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.05561055,22.39127398,15""}]",
Surf Spot,Bunbury - The Wall,-33.30129141,115.64637601,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-33.30129141,115.64637601,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-33.30129141,115.64637601,15""}]",
Surf Spot,Santa Clause,34.40806038,-119.55161333,US,CA,Rincon Region,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@34.40806038,-119.55161333,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,34.40806038,-119.55161333,15""}]",
Surf Spot,Lovers Shore Break,22.87537451,-109.89754915,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@22.87537451,-109.89754915,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,22.87537451,-109.89754915,15""}]",
Surf Spot,The Wall,51.3316708,1.42296553,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@51.3316708,1.42296553,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,51.3316708,1.42296553,15""}]",
Surf Spot,Gab Gab Beach,13.44438779,144.64577079,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@13.44438779,144.64577079,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,13.44438779,144.64577079,15""}]",
Surf Spot,Cachagua,-32.58839099,-71.44824922,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-32.58839099,-71.44824922,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-32.58839099,-71.44824922,15""}]",
Surf Spot,Swartvlei Beach,-34.02901114,22.77530193,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.02901114,22.77530193,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.02901114,22.77530193,15""}]",
Surf Spot,Salinas   San juan,43.58238047,-5.94926834,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@43.58238047,-5.94926834,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,43.58238047,-5.94926834,15""}]",
Surf Spot,Off The Wall,-33.89833694,18.40409088,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-33.89833694,18.40409088,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-33.89833694,18.40409088,15""}]",
Surf Spot,Costa Azul,23.01512631,-109.71693993,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@23.01512631,-109.71693993,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,23.01512631,-109.71693993,15""}]",
Surf Spot,Conchilla,-37.07240231,-73.16131711,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-37.07240231,-73.16131711,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-37.07240231,-73.16131711,15""}]",
Surf Spot,Skunk Point,33.98201509,-119.9834919,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@33.98201509,-119.9834919,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,33.98201509,-119.9834919,15""}]",
Surf Spot,Dillon Beach,38.25162822,-122.9702282,US,CA,North of SF,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@38.25162822,-122.9702282,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,38.25162822,-122.9702282,15""}]",
Surf Spot,Silkies,-34.11249742,18.82102847,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.11249742,18.82102847,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.11249742,18.82102847,15""}]",
Surf Spot,Ambleside Park,49.32501011,-123.15171719,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@49.32501011,-123.15171719,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,49.32501011,-123.15171719,15""}]",
Surf Spot,Venus Bay Beach 4 & 5,-33.23660564,134.66732025,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-33.23660564,134.66732025,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-33.23660564,134.66732025,15""}]",
Surf Spot,Boneyard,-34.64825347,150.86048663,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.64825347,150.86048663,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.64825347,150.86048663,15""}]",
Surf Spot,Bamburgh,55.61205645,-1.71661913,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@55.61205645,-1.71661913,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,55.61205645,-1.71661913,15""}]",
Surf Spot,Westport,46.90055413,-124.1328907,US,OR,Westport Region,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@46.90055413,-124.1328907,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,46.90055413,-124.1328907,15""}]",
Surf Spot,Canggu,-8.66418457,115.12624741,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-8.66418457,115.12624741,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-8.66418457,115.12624741,15""}]",
Surf Spot,Madiba's Right,-33.79027586,18.36115837,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-33.79027586,18.36115837,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-33.79027586,18.36115837,15""}]",
Surf Spot,Pondichery,11.95872339,79.83970642,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@11.95872339,79.83970642,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,11.95872339,79.83970642,15""}]",
Surf Spot,Wallagoot,-36.79196556,149.95548248,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-36.79196556,149.95548248,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-36.79196556,149.95548248,15""}]",
Surf Spot,Yacila,-5.12968695,-81.16963685,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-5.12968695,-81.16963685,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-5.12968695,-81.16963685,15""}]",
Surf Spot,C̫te sauvage - Phare de la Coubre  (lighthouse),45.69305114,-1.23750687,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@45.69305114,-1.23750687,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,45.69305114,-1.23750687,15""}]",
Surf Spot,Big Lagoon,41.16004614,-124.13572311,US,CA,Gold Bluffs Region,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@41.16004614,-124.13572311,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,41.16004614,-124.13572311,15""}]",
Surf Spot,Le Havre beach,49.49965687,0.08874893,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@49.49965687,0.08874893,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,49.49965687,0.08874893,15""}]",
Surf Spot,Forks,-28.13184026,153.49040598,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-28.13184026,153.49040598,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-28.13184026,153.49040598,15""}]",
Surf Spot,Payangan,-8.43429543,113.58009338,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-8.43429543,113.58009338,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-8.43429543,113.58009338,15""}]",
Surf Spot,Natural Bridges,36.94858852,-122.06102371,US,CA,Santa Cruz,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@36.94858852,-122.06102371,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,36.94858852,-122.06102371,15""}]",
Surf Spot,Garden City Pier,33.576084,-78.99762154,US,North Carolina,Myrtle Beach Region,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@33.576084,-78.99762154,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,33.576084,-78.99762154,15""}]",
Surf Spot,Agnes Water,-24.20829872,151.90894604,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-24.20829872,151.90894604,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-24.20829872,151.90894604,15""}]",
Surf Spot,Lake Pukaki Point,-44.18835879,170.13685226,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-44.18835879,170.13685226,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-44.18835879,170.13685226,15""}]",
Surf Spot,Vetchies Reef,-29.86643771,31.05314612,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-29.86643771,31.05314612,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-29.86643771,31.05314612,15""}]",
Surf Spot,Porto Armando,39.20505613,9.31252241,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@39.20505613,9.31252241,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,39.20505613,9.31252241,15""}]",
Surf Spot,Sandon Point,-34.33064344,150.92931747,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.33064344,150.92931747,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.33064344,150.92931747,15""}]",
Surf Spot,Derrs,-31.46889902,115.56836128,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-31.46889902,115.56836128,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-31.46889902,115.56836128,15""}]",
Surf Spot,Surfers Paradise-Knokke,51.3648411,3.34705353,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@51.3648411,3.34705353,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,51.3648411,3.34705353,15""}]",
Surf Spot,Cemetery Bay,-29.05915204,167.96975613,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-29.05915204,167.96975613,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-29.05915204,167.96975613,15""}]",
Surf Spot,Fort. Ebey,48.22450915,-122.7709119,US,OR,Olympic Coast,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@48.22450915,-122.7709119,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,48.22450915,-122.7709119,15""}]",
Surf Spot,Super-tubes,-33.6530302,115.01861572,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-33.6530302,115.01861572,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-33.6530302,115.01861572,15""}]",
Surf Spot,Trestles,38.93931684,-74.8621273,US,New Jersey,Cape May County,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@38.93931684,-74.8621273,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,38.93931684,-74.8621273,15""}]",https://t.me/+eQRx48_cJx8xNTQx
Surf Spot,Sales,-14.01433839,-171.81194544,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-14.01433839,-171.81194544,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-14.01433839,-171.81194544,15""}]",
Surf Spot,La Barra,-34.91956064,-54.86600697,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.91956064,-54.86600697,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.91956064,-54.86600697,15""}]",
Surf Spot,Hanalei Bay,22.20961656,-159.50745106,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@22.20961656,-159.50745106,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,22.20961656,-159.50745106,15""}]",
Surf Spot,dukhan beach,25.40513559,50.75546265,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@25.40513559,50.75546265,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,25.40513559,50.75546265,15""}]",
Surf Spot,Cipolla - Pipeline,38.8810781,8.85970116,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@38.8810781,8.85970116,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,38.8810781,8.85970116,15""}]",
Surf Spot,Tybee pier,31.99169852,-80.84577084,US,Georgia,Georgia,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@31.99169852,-80.84577084,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,31.99169852,-80.84577084,15""}]",
Surf Spot,Clovelly,-34.13227713,18.44063759,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.13227713,18.44063759,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.13227713,18.44063759,15""}]",
Surf Spot,Patrokl,43.07134878,131.96338534,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@43.07134878,131.96338534,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,43.07134878,131.96338534,15""}]",
Surf Spot,Kelibya,36.83408824,11.11739159,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@36.83408824,11.11739159,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,36.83408824,11.11739159,15""}]",
Surf Spot,Right Point,-38.50547686,145.1403594,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-38.50547686,145.1403594,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-38.50547686,145.1403594,15""}]",
Surf Spot,Hornito,-22.86356137,-70.29662132,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-22.86356137,-70.29662132,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-22.86356137,-70.29662132,15""}]",
Surf Spot,White Alice,51.87755072,-176.76177979,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@51.87755072,-176.76177979,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,51.87755072,-176.76177979,15""}]",
Surf Spot,Malpaso,-7.71055575,-79.46877837,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-7.71055575,-79.46877837,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-7.71055575,-79.46877837,15""}]",
Surf Spot,Hargen,52.70391586,4.63597298,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@52.70391586,4.63597298,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,52.70391586,4.63597298,15""}]",
Surf Spot,El desplayado,-34.58755583,-54.12178516,,,,,"[{""name"":""Google Maps"",""url"":""https://www.google.com/maps/@-34.58755583,-54.12178516,16z""},{""name"":""Windy"",""url"":""https://www.windy.com/-Waves-waves?waves,-34.58755583,-54.12178516,15""}]",
